GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 5 to 17 years:,Margin of Error; 5 to 17 years:,Estimate; 5 to 17 years: - Speak only English,Margin of Error; 5 to 17 years: - Speak only English,Estimate; 5 to 17 years: - Speak Spanish:,Margin of Error; 5 to 17 years: - Speak Spanish:,"Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other Indo-European languages:,Margin of Error; 5 to 17 years: - Speak other Indo-European languages:,"Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages:,Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages:,"Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other languages:,Margin of Error; 5 to 17 years: - Speak other languages:,"Estimate; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not at all""",Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Speak only English,Margin of Error; 18 to 64 years: - Speak only English,Estimate; 18 to 64 years: - Speak Spanish:,Margin of Error; 18 to 64 years: - Speak Spanish:,"Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other Indo-European languages:,Margin of Error; 18 to 64 years: - Speak other Indo-European languages:,"Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages:,Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages:,"Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other languages:,Margin of Error; 18 to 64 years: - Speak other languages:,"Estimate; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not at all""",Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Speak only English,Margin of Error; 65 years and over: - Speak only English,Estimate; 65 years and over: - Speak Spanish:,Margin of Error; 65 years and over: - Speak Spanish:,"Estimate; 65 years and over: - Speak Spanish: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""very well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other Indo-European languages:,Margin of Error; 65 years and over: - Speak other Indo-European languages:,"Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak Asian and Pacific Island languages:,Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages:,"Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other languages:,Margin of Error; 65 years and over: - Speak other languages:,"Estimate; 65 years and over: - Speak other languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not at all"""
0400000US09,09,Connecticut,3372182,134,612181,212,492374,2398,73462,1674,60311,1703,8182,752,3874,475,1095,316,30682,1285,27224,1226,2398,422,1014,225,46,63,11339,840,8612,676,1730,335,885,233,112,72,4324,861,3594,727,628,320,102,75,0,29,2250179,323,1736880,3959,265621,2211,143477,2254,54825,1774,48279,1963,19040,1318,173587,3746,115996,2939,35649,1591,18179,1258,3763,627,57350,1897,31440,1399,15962,966,8346,855,1602,341,16741,1179,11568,924,3809,596,1219,292,145,101,509822,271,427128,1370,21663,455,5721,489,4452,350,7319,555,4171,422,52803,1406,28519,857,12308,757,8927,671,3049,413,5697,420,1620,290,1356,253,1726,373,995,212,2531,385,1598,242,440,114,379,161,114,63
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",17565,224,3302,300,2828,368,243,179,112,90,131,157,0,19,0,19,188,112,179,112,9,14,0,19,0,19,0,19,0,19,0,19,0,19,0,19,43,62,43,62,0,19,0,19,0,19,11740,236,9841,387,539,206,275,129,183,97,9,14,72,88,1007,246,632,184,310,157,56,41,9,14,222,117,88,65,61,56,73,51,0,19,131,128,87,85,44,61,0,19,0,19,2523,244,2161,230,59,60,50,58,0,19,9,14,0,19,168,66,139,58,18,20,5,12,6,12,54,44,5,11,19,33,30,30,0,19,81,112,27,37,0,19,27,37,27,38
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",134245,555,27507,854,16586,924,8827,687,6580,630,1303,296,679,242,265,143,1485,379,1185,338,193,101,107,70,0,29,298,122,217,110,81,57,0,29,0,29,311,190,248,144,63,100,0,29,0,29,92449,1051,47224,1880,30449,1344,15107,973,5561,569,6171,778,3610,460,10433,1286,5196,826,2514,445,1932,303,791,292,2958,646,1168,337,881,263,757,296,152,102,1385,346,801,236,459,177,113,87,12,18,14289,575,8893,502,2938,333,483,119,727,174,1232,229,496,164,2040,306,675,189,569,158,322,113,474,183,308,138,18,21,39,29,177,110,74,76,110,67,70,56,24,25,16,26,0,29
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",15634,266,3014,227,2726,248,29,36,17,28,0,19,12,20,0,19,200,111,200,111,0,19,0,19,0,19,59,51,44,42,15,24,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10492,251,9237,403,375,187,219,128,120,106,36,36,0,19,562,213,510,203,51,40,1,3,0,19,279,137,212,115,59,46,8,13,0,19,39,34,26,32,13,23,0,19,0,19,2128,189,1895,203,54,51,27,28,27,32,0,19,0,19,119,67,69,44,11,17,39,47,0,19,60,64,17,27,7,12,12,19,24,36,0,19,0,19,0,19,0,19,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",75893,540,11422,678,6539,585,3245,476,2292,392,695,250,205,115,53,45,1258,327,1068,291,140,85,50,59,0,29,261,102,158,80,86,70,17,28,0,29,119,139,81,82,38,62,0,29,0,29,55009,655,30291,1037,12546,939,4203,555,3740,689,3407,594,1196,376,8970,974,4441,568,2210,462,1765,471,554,354,2443,463,1132,272,905,250,398,159,8,15,759,300,577,279,142,119,40,64,0,29,9462,411,7137,456,642,221,167,120,87,64,150,75,238,160,1342,219,602,141,366,98,201,93,173,116,227,122,47,55,29,30,101,68,50,51,114,80,54,46,7,11,53,65,0,29
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",19245,195,5993,298,5533,340,193,102,186,102,0,23,7,11,0,23,189,108,181,105,0,23,8,14,0,23,66,52,51,46,0,23,15,24,0,23,12,18,12,18,0,23,0,23,0,23,10715,227,9717,261,259,90,212,78,22,30,20,28,5,9,493,127,430,125,53,49,10,14,0,23,219,102,177,87,32,39,10,17,0,23,27,28,22,26,5,10,0,23,0,23,2537,144,2222,159,55,40,55,40,0,23,0,23,0,23,233,91,198,81,9,13,26,33,0,23,27,26,8,12,5,11,0,23,14,22,0,23,0,23,0,23,0,23,0,23
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",7117,126,1729,169,1633,177,49,50,41,48,0,17,8,14,0,17,38,34,21,21,0,17,17,24,0,17,0,17,0,17,0,17,0,17,0,17,9,15,9,15,0,17,0,17,0,17,4248,149,3695,197,64,60,30,34,27,42,7,11,0,17,394,150,373,158,15,20,6,11,0,17,25,28,25,28,0,17,0,17,0,17,70,65,63,64,0,17,7,11,0,17,1140,109,898,123,9,15,0,17,9,15,0,17,0,17,175,135,33,32,65,59,54,59,23,31,0,17,0,17,0,17,0,17,0,17,58,62,50,60,8,14,0,17,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",56143,337,11765,467,10573,479,337,133,203,106,62,41,72,46,0,29,555,154,473,150,25,27,57,41,0,29,208,102,135,62,60,72,13,21,0,29,92,80,92,80,0,29,0,29,0,29,35411,510,30181,616,1386,260,1035,218,307,105,44,66,0,29,2276,366,1684,244,475,159,117,93,0,29,1170,247,671,167,353,111,85,46,61,47,398,156,299,129,88,68,11,16,0,29,8967,357,7814,402,156,78,114,65,29,29,0,29,13,29,767,156,535,142,170,71,52,42,10,13,84,66,17,25,6,13,42,42,19,32,146,68,96,53,33,34,17,28,0,29
