GEO.id,GEO.id2,GEO.display-label,B16004_001E,B16004_001M,B16004_002E,B16004_002M,B16004_003E,B16004_003M,B16004_004E,B16004_004M,B16004_005E,B16004_005M,B16004_006E,B16004_006M,B16004_007E,B16004_007M,B16004_008E,B16004_008M,B16004_009E,B16004_009M,B16004_010E,B16004_010M,B16004_011E,B16004_011M,B16004_012E,B16004_012M,B16004_013E,B16004_013M,B16004_014E,B16004_014M,B16004_015E,B16004_015M,B16004_016E,B16004_016M,B16004_017E,B16004_017M,B16004_018E,B16004_018M,B16004_019E,B16004_019M,B16004_020E,B16004_020M,B16004_021E,B16004_021M,B16004_022E,B16004_022M,B16004_023E,B16004_023M,B16004_024E,B16004_024M,B16004_025E,B16004_025M,B16004_026E,B16004_026M,B16004_027E,B16004_027M,B16004_028E,B16004_028M,B16004_029E,B16004_029M,B16004_030E,B16004_030M,B16004_031E,B16004_031M,B16004_032E,B16004_032M,B16004_033E,B16004_033M,B16004_034E,B16004_034M,B16004_035E,B16004_035M,B16004_036E,B16004_036M,B16004_037E,B16004_037M,B16004_038E,B16004_038M,B16004_039E,B16004_039M,B16004_040E,B16004_040M,B16004_041E,B16004_041M,B16004_042E,B16004_042M,B16004_043E,B16004_043M,B16004_044E,B16004_044M,B16004_045E,B16004_045M,B16004_046E,B16004_046M,B16004_047E,B16004_047M,B16004_048E,B16004_048M,B16004_049E,B16004_049M,B16004_050E,B16004_050M,B16004_051E,B16004_051M,B16004_052E,B16004_052M,B16004_053E,B16004_053M,B16004_054E,B16004_054M,B16004_055E,B16004_055M,B16004_056E,B16004_056M,B16004_057E,B16004_057M,B16004_058E,B16004_058M,B16004_059E,B16004_059M,B16004_060E,B16004_060M,B16004_061E,B16004_061M,B16004_062E,B16004_062M,B16004_063E,B16004_063M,B16004_064E,B16004_064M,B16004_065E,B16004_065M,B16004_066E,B16004_066M,B16004_067E,B16004_067M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!5 to 17 years:,Margin of Error!!Total:!!5 to 17 years:,Estimate!!Total:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!5 to 17 years:!!Speak Spanish:,Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:,"Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish:!!Speak English not at all""""",Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:,Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:,"Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages:!!Speak English not at all""""",Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:,Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:,"Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""",Estimate!!Total:!!5 to 17 years:!!Speak other languages:,Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:,"Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English very well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English very well""""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English well""""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not well""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not well""""","Estimate!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not at all""""","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:,Margin of Error!!Total:!!18 to 64 years:,Estimate!!Total:!!18 to 64 years:!!Speak only English,Margin of Error!!Total:!!18 to 64 years:!!Speak only English,Estimate!!Total:!!18 to 64 years:!!Speak Spanish:,Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:,"Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Spanish:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:,Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:,"Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other Indo-European languages:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:,Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:,"Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""",Estimate!!Total:!!18 to 64 years:!!Speak other languages:,Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:,"Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English very well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English very well""""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English well""""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not well""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not well""""","Estimate!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not at all""""","Margin of Error!!Total:!!18 to 64 years:!!Speak other languages:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:,Margin of Error!!Total:!!65 years and over:,Estimate!!Total:!!65 years and over:!!Speak only English,Margin of Error!!Total:!!65 years and over:!!Speak only English,Estimate!!Total:!!65 years and over:!!Speak Spanish:,Margin of Error!!Total:!!65 years and over:!!Speak Spanish:,"Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak Spanish:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:,Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:,"Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak other Indo-European languages:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:,Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:,"Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak Asian and Pacific Island languages:!!Speak English not at all""""",Estimate!!Total:!!65 years and over:!!Speak other languages:,Margin of Error!!Total:!!65 years and over:!!Speak other languages:,"Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English very well""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English very well""""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English well""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English well""""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English not well""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English not well""""","Estimate!!Total:!!65 years and over:!!Speak other languages:!!Speak English not at all""""","Margin of Error!!Total:!!65 years and over:!!Speak other languages:!!Speak English not at all"""""
0600000US0900100000,900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0600000US0900104720,900104720,"Bethel town, Fairfield County, Connecticut",18739,283,3494,527,2994,520,112,79,112,79,0,20,0,20,0,20,200,151,200,151,0,20,0,20,0,20,107,85,107,85,0,20,0,20,0,20,81,137,81,137,0,20,0,20,0,20,12362,526,9353,806,725,272,501,181,169,135,55,55,0,20,1144,446,590,214,329,214,225,169,0,20,664,391,442,320,183,170,39,46,0,20,476,328,476,328,0,20,0,20,0,20,2883,383,2336,321,148,181,130,175,0,20,13,20,5,10,276,108,160,97,75,34,41,34,0,20,20,40,14,39,3,18,3,13,0,20,103,166,103,166,0,20,0,20,0,20
0600000US0900108070,900108070,"Bridgeport town, Fairfield County, Connecticut",135651,703,24398,910,12983,928,8910,942,7316,883,1023,300,426,141,145,100,1668,452,1447,401,155,119,50,69,16,25,211,128,188,125,23,26,0,30,0,30,626,306,615,303,11,15,0,30,0,30,94156,1221,46461,1900,32811,1504,15345,984,6742,693,7114,807,3610,504,10169,1381,5515,781,2352,552,1822,473,480,246,1964,482,612,212,744,283,540,227,68,50,2751,583,1978,505,641,237,74,60,58,92,17097,893,10684,723,4173,509,965,245,711,207,1459,352,1038,292,1584,312,764,249,256,107,319,193,245,135,317,163,1,2,57,81,239,132,20,28,339,154,244,139,21,24,57,61,17,28
0600000US0900108980,900108980,"Brookfield town, Fairfield County, Connecticut",16113,201,3043,323,2692,321,179,151,179,151,0,20,0,20,0,20,102,66,86,61,16,26,0,20,0,20,70,65,32,41,23,36,15,23,0,20,0,20,0,20,0,20,0,20,0,20,9757,406,8245,556,293,154,181,100,73,69,39,55,0,20,925,420,706,392,187,113,32,50,0,20,239,126,88,66,136,100,15,24,0,20,55,54,44,44,11,19,0,20,0,20,3313,465,2827,416,81,63,47,51,8,12,26,43,0,20,369,185,290,145,74,118,0,20,5,12,25,25,10,13,7,12,0,20,8,14,11,17,0,20,11,17,0,20,0,20
0600000US0900118500,900118500,"Danbury town, Fairfield County, Connecticut",79623,519,12171,886,6239,669,4585,678,3745,667,671,259,169,95,0,30,1160,437,944,395,138,100,78,72,0,30,164,107,161,107,3,5,0,30,0,30,23,22,23,22,0,30,0,30,0,30,54656,1124,29739,1513,13925,1238,5792,739,3982,593,2911,581,1240,308,8555,1182,4663,717,2153,464,1107,354,632,307,1744,427,1184,328,380,144,180,100,0,30,693,357,641,351,20,38,28,46,4,6,12796,1096,10154,1140,729,225,180,107,97,77,215,113,237,154,1556,353,679,210,389,137,375,258,113,88,233,95,136,84,51,26,37,43,9,13,124,94,104,91,11,17,9,15,0,30
0600000US0900118850,900118850,"Darien town, Fairfield County, Connecticut",20364,201,5567,460,5006,455,190,106,166,99,12,15,12,19,0,24,230,137,194,102,36,54,0,24,0,24,121,64,102,54,19,31,0,24,0,24,20,33,20,33,0,24,0,24,0,24,11840,388,10182,455,524,235,420,215,93,55,11,18,0,24,744,200,671,193,63,46,10,17,0,24,355,136,227,85,90,62,38,58,0,24,35,42,27,36,8,13,0,24,0,24,2957,539,2573,539,71,66,55,58,16,16,0,24,0,24,281,134,92,59,73,74,59,59,57,61,32,33,4,6,4,7,5,7,19,30,0,24,0,24,0,24,0,24,0,24
0600000US0900123890,900123890,"Easton town, Fairfield County, Connecticut",7268,107,1380,228,1257,224,30,34,30,34,0,18,0,18,0,18,80,79,75,78,0,18,5,7,0,18,13,20,13,20,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,4331,340,3793,352,63,41,50,35,0,18,0,18,13,22,438,233,303,153,117,98,18,21,0,18,29,30,6,10,23,23,0,18,0,18,8,12,0,18,8,12,0,18,0,18,1557,385,1444,389,11,18,11,18,0,18,0,18,0,18,94,62,79,56,8,12,7,11,0,18,0,18,0,18,0,18,0,18,0,18,8,12,0,18,8,12,0,18,0,18
0600000US0900126620,900126620,"Fairfield town, Fairfield County, Connecticut",58609,430,11162,730,9652,706,492,149,462,149,15,16,15,17,0,30,764,217,653,192,80,64,24,26,7,13,49,34,36,30,13,15,0,30,0,30,205,116,141,95,64,107,0,30,0,30,37754,710,30775,839,2246,561,1660,432,347,128,194,125,45,46,3288,452,2559,399,453,158,257,116,19,17,726,202,433,136,144,70,117,62,32,30,719,271,561,210,154,112,4,7,0,30,9693,631,8282,601,313,132,217,99,58,52,6,9,32,44,879,248,454,154,312,211,87,85,26,25,42,38,0,30,10,16,21,25,11,18,177,167,74,80,70,89,33,33,0,30
0600000US0900133620,900133620,"Greenwich town, Fairfield County, Connecticut",59514,412,12885,694,9461,673,1776,343,1633,332,108,103,35,54,0,30,1018,330,992,325,18,15,8,12,0,30,600,179,437,167,113,63,42,48,8,12,30,33,30,33,0,30,0,30,0,30,35700,689,25522,908,4506,689,2715,441,1054,313,515,214,222,124,3670,568,2895,524,587,243,188,130,0,30,1891,329,1310,252,374,142,197,101,10,15,111,67,61,41,50,36,0,30,0,30,10929,588,8783,567,443,130,252,102,63,56,51,35,77,70,1192,257,875,231,158,81,159,81,0,30,439,164,204,116,141,81,47,72,47,77,72,52,64,50,8,13,0,30,0,30
